Time ,Thermistor,Potentiometer,
602,473,594,
603,473,595,
604,473,595,
605,473,594,
606,473,594,
607,472,595,
608,473,595,
609,473,594,
610,473,595,
611,473,595,
612,473,595,
613,473,594,
614,473,595,
615,473,595,
616,473,594,
617,473,595,
618,473,595,
619,473,594,
620,473,594,
621,473,595,
622,473,594,
623,473,594,
624,473,595,
625,473,595,
626,474,594,
627,473,595,
628,473,595,
629,474,594,
630,473,594,
631,473,595,
632,473,595,
633,473,594,
634,473,595,
635,473,595,
636,473,594,
637,473,594,
638,473,595,
639,473,595,
640,473,595,
641,473,595,
642,473,595,
643,474,594,
644,473,595,
645,474,594,
646,474,595,
647,473,595,
648,473,595,
649,473,594,
650,473,594,
651,473,594,
652,473,595,
653,474,594,
654,473,595,
655,473,594,
656,473,595,
657,473,594,
658,473,595,
659,474,594,
660,474,594,
661,473,595,
662,473,595,
663,474,595,
664,473,594,
665,474,595,
666,474,594,
667,473,595,
668,473,595,
669,474,594,
670,474,595,
671,473,594,
672,474,594,
673,474,594,
674,473,595,
675,473,595,
676,474,595,
677,474,594,
678,473,595,
679,474,594,
680,474,595,
681,473,595,
682,474,595,
683,474,595,
684,473,594,
685,474,595,
686,474,594,
687,474,595,
688,473,594,
689,474,594,
690,474,594,
691,473,595,
692,474,595,
693,474,595,
694,474,595,
695,473,595,
696,474,595,
697,474,595,
698,474,595,
699,474,595,
700,474,594,
701,474,595,
702,474,594,
703,474,594,
704,474,595,
705,474,594,
706,474,594,
707,474,595,
708,474,595,
709,474,595,
710,474,594,
711,474,594,
712,474,594,
713,474,594,
714,474,595,
715,474,594,
716,474,594,
717,474,595,
718,474,595,
719,474,594,
720,474,594,
721,474,595,
722,474,594,
723,474,594,
724,474,595,
725,474,594,
726,474,594,
727,474,595,
728,474,594,
729,474,595,
730,474,595,
731,474,595,
732,474,594,
733,474,594,
734,474,594,
735,474,594,
736,474,594,
737,474,594,
738,474,595,
739,474,594,
740,474,595,
741,475,595,
742,474,594,
743,474,594,
744,474,595,
745,474,595,
746,474,595,
747,475,594,
748,475,595,
749,474,594,
750,475,595,
751,475,595,
752,474,595,
753,474,594,
754,475,595,
755,475,594,
756,474,594,
757,474,594,
758,475,595,
759,474,594,
760,474,595,
761,475,595,
762,475,594,
763,474,594,
764,475,594,
765,474,595,
766,474,594,
767,475,595,
768,475,594,
769,474,595,
770,474,594,
771,475,595,
772,475,595,
773,475,594,
774,475,595,
775,475,595,
776,475,594,
777,475,594,
778,475,595,
779,475,594,
780,475,594,
781,475,594,
782,475,595,
783,474,594,
784,475,594,
785,475,595,
786,475,594,
787,475,594,
788,475,595,
789,475,595,
790,474,594,
791,475,595,
792,475,595,
793,474,595,
794,475,595,
795,475,595,
796,475,594,
797,475,594,
798,475,595,
799,475,595,
800,475,594,
801,475,595,
802,475,595,
803,475,594,
804,475,595,
805,475,595,
806,475,595,
807,475,594,
808,475,595,
809,475,595,
810,475,594,
811,475,594,
812,475,594,
813,475,594,
814,475,595,
815,476,595,
816,475,595,
817,475,594,
818,475,595,
819,475,595,
820,475,595,
821,475,594,
822,475,595,
823,475,594,
824,475,594,
825,475,595,
826,475,595,
827,475,594,
828,475,595,
829,475,595,
830,475,594,
831,475,594,
832,475,595,
833,475,595,
834,475,594,
835,475,595,
836,475,595,
837,475,594,
838,475,594,
839,475,595,
840,475,594,
841,475,594,
842,476,595,
843,475,595,
844,475,594,
845,475,595,
846,475,595,
847,476,594,
848,475,594,
849,475,595,
850,475,595,
851,475,595,
852,475,595,
853,475,595,
854,475,594,
855,475,595,
856,476,595,
857,475,595,
858,475,594,
859,476,594,
860,475,595,
861,475,594,
862,475,595,
863,476,595,
864,475,595,
865,476,594,
866,475,595,
867,476,595,
868,475,595,
869,476,595,
870,476,595,
871,475,594,
872,475,595,
873,476,595,
874,476,595,
875,476,594,
876,475,595,
877,476,595,
878,476,594,
879,475,595,
880,476,595,
881,476,594,
882,475,594,
883,476,595,
884,476,595,
885,476,594,
886,476,595,
887,476,595,
888,476,594,
889,475,594,
890,476,595,
891,476,594,
892,475,594,
893,476,595,
894,476,595,
895,475,594,
896,476,595,
897,476,595,
898,476,595,
899,476,594,
900,476,595,
901,476,594,
902,476,594,
903,476,595,
904,476,595,
905,476,594,
906,476,594,
907,476,595,
908,476,595,
909,476,594,
910,476,595,
911,476,595,
912,476,594,
913,476,595,
914,476,595,
915,476,594,
916,476,594,
917,476,595,
918,476,594,
919,476,595,
